Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Postal Code,Product ID,Sales,Quantity,Discount,Profit
1,CA-2022-152156,08-11-2022,11-11-2022,Second Class,CG-12520,Consumer,42420,FUR-BO-10001798,26196,2,0,419136
2,CA-2022-152156,08-11-2022,11-11-2022,Second Class,CG-12520,Consumer,42420,FUR-CH-10000454,73194,3,0,219582
3,CA-2022-138688,12-06-2022,16-06-2022,Second Class,DV-13045,Corporate,90036,OFF-LA-10000240,1462,2,0,68714
4,US-2021-108966,11-10-2021,18-10-2021,Standard Class,SO-20335,Consumer,33311,FUR-TA-10000577,9575775,5,45,-383031
5,US-2021-108966,11-10-2021,18-10-2021,Standard Class,SO-20335,Consumer,33311,OFF-ST-10000760,22368,2,2,25164
6,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,FUR-FU-10001487,4886,7,0,141694
7,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,OFF-AR-10002833,728,4,0,19656
8,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002275,907152,6,2,907152
9,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,OFF-BI-10003910,18504,3,2,57825
10,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,OFF-AP-10002892,1149,5,0,3447
11,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,FUR-TA-10001539,1706184,9,2,853092
12,CA-2020-115812,09-06-2020,14-06-2020,Standard Class,BH-11710,Consumer,90032,TEC-PH-10002033,911424,4,2,683568
13,CA-2023-114412,15-04-2023,20-04-2023,Standard Class,AA-10480,Consumer,28027,OFF-PA-10002365,15552,3,2,54432
14,CA-2022-161389,05-12-2022,10-12-2022,Standard Class,IM-15070,Consumer,98103,OFF-BI-10003656,407976,3,2,1325922
15,US-2021-118983,22-11-2021,26-11-2021,Standard Class,HP-14815,Home Office,76106,OFF-AP-10002311,6881,5,8,-123858
16,US-2021-118983,22-11-2021,26-11-2021,Standard Class,HP-14815,Home Office,76106,OFF-BI-10000756,2544,3,8,-3816
17,CA-2020-105893,11-11-2020,18-11-2020,Standard Class,PK-19075,Consumer,53711,OFF-ST-10004186,66588,6,0,133176
18,CA-2020-167164,13-05-2020,15-05-2020,Second Class,AG-10270,Consumer,84084,OFF-ST-10000107,555,2,0,999
19,CA-2020-143336,27-08-2020,01-09-2020,Second Class,ZD-21925,Consumer,94109,OFF-AR-10003056,856,2,0,24824
20,CA-2020-143336,27-08-2020,01-09-2020,Second Class,ZD-21925,Consumer,94109,TEC-PH-10001949,21348,3,2,16011
21,CA-2020-143336,27-08-2020,01-09-2020,Second Class,ZD-21925,Consumer,94109,OFF-BI-10002215,2272,4,2,7384
22,CA-2022-137330,09-12-2022,13-12-2022,Standard Class,KB-16585,Corporate,68025,OFF-AR-10000246,1946,7,0,50596
23,CA-2022-137330,09-12-2022,13-12-2022,Standard Class,KB-16585,Corporate,68025,OFF-AP-10001492,6034,7,0,156884
24,US-2023-156909,16-07-2023,18-07-2023,Second Class,SF-20065,Consumer,19140,FUR-CH-10002774,71372,2,3,-10196
25,CA-2021-106320,25-09-2021,30-09-2021,Standard Class,EB-13870,Consumer,84057,FUR-TA-10000577,104463,3,0,2402649
26,CA-2022-121755,16-01-2022,20-01-2022,Second Class,EH-13945,Consumer,90049,OFF-BI-10001634,11648,2,2,42224
27,CA-2022-121755,16-01-2022,20-01-2022,Second Class,EH-13945,Consumer,90049,TEC-AC-10003027,9057,3,0,117741
28,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,FUR-BO-10004834,308343,7,5,-16650522
29,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10000474,9618,2,7,-70532
30,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,FUR-FU-10004848,1242,3,2,15525
31,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-EN-10001509,3264,2,2,11016
32,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10004042,86304,6,2,97092
33,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-BI-10001525,6858,6,7,-5715
34,US-2021-150630,17-09-2021,21-09-2021,Standard Class,TB-21520,Consumer,19140,OFF-AR-10001683,1576,2,2,3546
35,CA-2023-107727,19-10-2023,23-10-2023,Second Class,MA-17560,Home Office,77095,OFF-PA-10000249,29472,3,2,99468
36,CA-2022-117590,08-12-2022,10-12-2022,First Class,GH-14485,Corporate,75080,TEC-PH-10004977,1097544,7,2,1234737
37,CA-2022-117590,08-12-2022,10-12-2022,First Class,GH-14485,Corporate,75080,FUR-FU-10003664,19092,5,6,-147963
38,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,OFF-EN-10002986,113328,9,2,35415
39,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,FUR-BO-10002545,5323992,3,32,-469764
40,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,FUR-CH-10004218,212058,3,3,-15147
41,CA-2021-117415,27-12-2021,31-12-2021,Standard Class,SN-20710,Home Office,77041,TEC-PH-10000486,371168,4,2,417564
42,CA-2023-120999,10-09-2023,15-09-2023,Standard Class,LC-16930,Corporate,60540,TEC-PH-10004093,147168,4,2,165564
43,CA-2022-101343,17-07-2022,22-07-2022,Standard Class,RA-19885,Corporate,90049,OFF-ST-10003479,7788,2,0,3894
44,CA-2023-139619,19-09-2023,23-09-2023,Standard Class,ES-14080,Corporate,32935,OFF-ST-10003282,95616,2,2,95616
45,CA-2022-118255,11-03-2022,13-03-2022,First Class,ON-18715,Corporate,55122,TEC-AC-10000171,4598,2,0,197714
46,CA-2022-118255,11-03-2022,13-03-2022,First Class,ON-18715,Corporate,55122,OFF-BI-10003291,1746,2,0,82062
47,CA-2020-146703,20-10-2020,25-10-2020,Second Class,PO-18865,Consumer,48185,OFF-ST-10001713,21196,4,0,84784
48,CA-2022-169194,20-06-2022,25-06-2022,Standard Class,LH-16900,Consumer,19901,TEC-AC-10002167,45,3,0,495
49,CA-2022-169194,20-06-2022,25-06-2022,Standard Class,LH-16900,Consumer,19901,TEC-PH-10003988,218,2,0,6104
50,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,OFF-BI-10004410,3822,6,0,179634
51,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,OFF-LA-10002762,7518,6,0,353346
52,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,FUR-FU-10001706,616,2,0,29568
53,CA-2021-115742,18-04-2021,22-04-2021,Standard Class,DP-13000,Consumer,47150,FUR-CH-10003061,8999,1,0,170981
54,CA-2022-105816,11-12-2022,17-12-2022,Standard Class,JM-15265,Corporate,10024,OFF-FA-10000304,1526,7,0,62566
55,CA-2022-105816,11-12-2022,17-12-2022,Standard Class,JM-15265,Corporate,10024,TEC-PH-10002447,102995,5,0,2986855
56,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-ST-10000604,20856,6,0,5214
57,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-PA-10001569,324,5,0,15552
58,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,FUR-CH-10003968,31941,5,1,7098
59,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-PA-10000587,1456,2,0,69888
60,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,TEC-AC-10002167,30,2,0,33
61,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-BI-10001460,4848,4,2,16362
62,CA-2022-111682,17-06-2022,18-06-2022,First Class,TB-21055,Consumer,12180,OFF-AR-10001868,168,1,0,84
63,CA-2021-135545,24-11-2021,30-11-2021,Standard Class,KM-16720,Consumer,90004,TEC-AC-10004633,1398,2,0,61512
